VID,BID,file_type,org_filename,new_filename,folder_name
1002,00570528,jpg,1002_1002.jpg,01-10-26-0250-0350-0060.00570528.jpg,102601,"SKETCH IMPORT"
1005,00570529,jpg,1005_1005.jpg,01-10-26-0250-0360-0040.00570529.jpg,102601,"SKETCH IMPORT"
1007,00570530,jpg,1007_1007.jpg,01-10-26-0250-0360-0080.00570530.jpg,102601,"SKETCH IMPORT"
1008,00570531,jpg,1008_1008.jpg,01-10-26-0250-0360-0100.00570531.jpg,102601,"SKETCH IMPORT"
1009,00570532,jpg,1009_1009.jpg,01-10-26-0250-0370-0010.00570532.jpg,102601,"SKETCH IMPORT"
1010,00570533,jpg,1010_1010.jpg,01-10-26-0250-0370-0040.00570533.jpg,102601,"SKETCH IMPORT"
1013,00570534,jpg,1013_1013.jpg,01-10-26-0250-0380-0020.00570534.jpg,102601,"SKETCH IMPORT"
1017,00570535,jpg,1017_1017.jpg,01-10-26-0250-0390-0040.00570535.jpg,102601,"SKETCH IMPORT"
1026,00570536,jpg,1026_1026.jpg,36-12-27-0270-0010-0000.00570536.jpg,122736,"SKETCH IMPORT"
1029,00570537,jpg,1029_1029.jpg,36-12-27-0270-0050-0020.00570537.jpg,122736,"SKETCH IMPORT"
1030,00570538,jpg,1030_1030.jpg,36-12-27-0270-0050-0030.00570538.jpg,122736,"SKETCH IMPORT"
1036,00570539,jpg,1036_1036.jpg,36-12-27-0270-0060-0050.00570539.jpg,122736,"SKETCH IMPORT"
103,00570540,jpg,103_103.jpg,49-09-27-0014-5220-0030.00570540.jpg,092749,"SKETCH IMPORT"
1054,00570541,jpg,1054_1054.jpg,36-12-27-0270-0130-0020.00570541.jpg,122736,"SKETCH IMPORT"
1055,00570542,jpg,1055_1055.jpg,36-12-27-0270-0130-0030.00570542.jpg,122736,"SKETCH IMPORT"
1068,00570543,jpg,1068_1068.jpg,36-12-27-0270-0140-0040.00570543.jpg,122736,"SKETCH IMPORT"
1075,00570544,jpg,1075_1075.jpg,39-11-26-0300-0000-0110.00570544.jpg,112639,"SKETCH IMPORT"
110,00570545,jpg,110_110.jpg,49-09-27-0015-0000-0040.00570545.jpg,092749,"SKETCH IMPORT"
113,00570546,jpg,113_113.jpg,49-09-27-0015-0000-0070.00570546.jpg,092749,"SKETCH IMPORT"
114,00570547,jpg,114_114.jpg,49-09-27-0015-0000-0071.00570547.jpg,092749,"SKETCH IMPORT"
115,00570548,jpg,115_211403.jpg,49-09-27-0015-0000-0080.00570548.jpg,092749,"SKETCH IMPORT"
117,00570549,jpg,117_117.jpg,49-09-27-0015-0000-0100.00570549.jpg,092749,"SKETCH IMPORT"
11,00570550,jpg,11_11.jpg,13-08-24-0010-0000-0120.00570550.jpg,082413,"SKETCH IMPORT"
122,00570551,jpg,122_122.jpg,49-09-27-0015-0000-0130.00570551.jpg,092749,"SKETCH IMPORT"
124,00570552,jpg,124_124.jpg,49-09-27-0015-0000-0150.00570552.jpg,092749,"SKETCH IMPORT"
125,00570553,jpg,125_125.jpg,49-09-27-0015-0000-0160.00570553.jpg,092749,"SKETCH IMPORT"
126,00570554,jpg,126_126.jpg,49-09-27-0015-0000-0161.00570554.jpg,092749,"SKETCH IMPORT"
129,00570555,jpg,129_211158.jpg,49-09-27-0015-0000-0172.00570555.jpg,092749,"SKETCH IMPORT"
12,00570556,jpg,12_12.jpg,13-08-24-0010-0000-0130.00570556.jpg,082413,"SKETCH IMPORT"
130,00570557,jpg,130_130.jpg,49-09-27-0015-0000-0180.00570557.jpg,092749,"SKETCH IMPORT"
1326,00570558,jpg,1326_1326.jpg,09-10-24-0351-0000-0001.00570558.jpg,102409,"SKETCH IMPORT"
1331,00570559,jpg,1331_1331.jpg,09-10-24-0351-0020-0020.00570559.jpg,102409,"SKETCH IMPORT"
1333,00570560,jpg,1333_1333.jpg,09-10-24-0351-0020-0040.00570560.jpg,102409,"SKETCH IMPORT"
134,00570561,jpg,134_134.jpg,49-09-27-0015-0000-0200.00570561.jpg,092749,"SKETCH IMPORT"
135,00570562,jpg,135_135.jpg,49-09-27-0015-0000-0201.00570562.jpg,092749,"SKETCH IMPORT"
1366,00570563,jpg,1366_1366.jpg,09-10-24-0351-0050-0030.00570563.jpg,102409,"SKETCH IMPORT"
1367,00570564,jpg,1367_1367.jpg,09-10-24-0351-0050-0040.00570564.jpg,102409,"SKETCH IMPORT"
136,00570565,jpg,136_136.jpg,49-09-27-0015-0000-0210.00570565.jpg,092749,"SKETCH IMPORT"
1372,00570566,jpg,1372_1372.jpg,09-10-24-0351-0050-0090.00570566.jpg,102409,"SKETCH IMPORT"
1373,00570567,jpg,1373_1373.jpg,09-10-24-0351-0050-0100.00570567.jpg,102409,"SKETCH IMPORT"
1373,00570568,jpg,1373_200133.jpg,09-10-24-0351-0050-0100.00570568.jpg,102409,"SKETCH IMPORT"
1373,00570569,jpg,1373_200134.jpg,09-10-24-0351-0050-0100.00570569.jpg,102409,"SKETCH IMPORT"
138,00570570,jpg,138_138.jpg,49-09-27-0015-0000-0212.00570570.jpg,092749,"SKETCH IMPORT"
139,00570571,jpg,139_139.jpg,49-09-27-0015-0000-0220.00570571.jpg,092749,"SKETCH IMPORT"
140,00570572,jpg,140_140.jpg,49-09-27-0015-0000-0221.00570572.jpg,092749,"SKETCH IMPORT"
141,00570573,jpg,141_141.jpg,49-09-27-0015-0000-0230.00570573.jpg,092749,"SKETCH IMPORT"
1436,00570574,jpg,1436_1436.jpg,09-10-24-0351-0120-0060.00570574.jpg,102409,"SKETCH IMPORT"
143,00570575,jpg,143_143.jpg,49-09-27-0015-0000-0251.00570575.jpg,092749,"SKETCH IMPORT"
144,00570576,jpg,144_144.jpg,49-09-27-0015-0000-0252.00570576.jpg,092749,"SKETCH IMPORT"
1452,00570577,jpg,1452_1452.jpg,39-11-26-0380-0010-0030.00570577.jpg,112639,"SKETCH IMPORT"
1453,00570578,jpg,1453_211179.jpg,39-11-26-0380-0010-0040.00570578.jpg,112639,"SKETCH IMPORT"
1454,00570579,jpg,1454_1454.jpg,39-11-26-0380-0010-0050.00570579.jpg,112639,"SKETCH IMPORT"
1456,00570580,jpg,1456_1456.jpg,39-11-26-0380-0010-0070.00570580.jpg,112639,"SKETCH IMPORT"
1459,00570581,jpg,1459_1459.jpg,39-11-26-0380-0010-0100.00570581.jpg,112639,"SKETCH IMPORT"
145,00570582,jpg,145_145.jpg,49-09-27-0015-0000-0260.00570582.jpg,092749,"SKETCH IMPORT"
1460,00570583,jpg,1460_1460.jpg,39-11-26-0380-0020-0010.00570583.jpg,112639,"SKETCH IMPORT"
1461,00570584,jpg,1461_1461.jpg,39-11-26-0380-0020-0020.00570584.jpg,112639,"SKETCH IMPORT"
1462,00570585,jpg,1462_1462.jpg,39-11-26-0380-0020-0030.00570585.jpg,112639,"SKETCH IMPORT"
1468,00570586,jpg,1468_1468.jpg,39-10-26-0380-0020-0090.00570586.jpg,102639,"SKETCH IMPORT"
1469,00570587,jpg,1469_1469.jpg,39-10-26-0380-0020-0100.00570587.jpg,102639,"SKETCH IMPORT"
146,00570588,jpg,146_146.jpg,49-09-27-0015-0000-0261.00570588.jpg,092749,"SKETCH IMPORT"
1470,00570589,jpg,1470_1470.jpg,39-10-26-0380-0020-0110.00570589.jpg,102639,"SKETCH IMPORT"
1471,00570590,jpg,1471_1471.jpg,39-10-26-0380-0020-0120.00570590.jpg,102639,"SKETCH IMPORT"
1472,00570591,jpg,1472_1472.jpg,39-10-26-0380-0020-0130.00570591.jpg,102639,"SKETCH IMPORT"
1474,00570592,jpg,1474_1474.jpg,39-10-26-0380-0020-0150.00570592.jpg,102639,"SKETCH IMPORT"
1476,00570593,jpg,1476_1476.jpg,39-10-26-0380-0020-0170.00570593.jpg,102639,"SKETCH IMPORT"
1478,00570594,jpg,1478_1478.jpg,39-10-26-0380-0020-0190.00570594.jpg,102639,"SKETCH IMPORT"
1479,00570595,jpg,1479_1479.jpg,39-10-26-0380-0020-0200.00570595.jpg,102639,"SKETCH IMPORT"
1483,00570596,jpg,1483_1483.jpg,39-10-26-0380-0020-0240.00570596.jpg,102639,"SKETCH IMPORT"
1484,00570597,jpg,1484_1484.jpg,39-10-26-0380-0020-0250.00570597.jpg,102639,"SKETCH IMPORT"
1485,00570598,jpg,1485_1485.jpg,39-10-26-0380-0020-0260.00570598.jpg,102639,"SKETCH IMPORT"
1486,00570599,jpg,1486_1486.jpg,39-10-26-0380-0020-0270.00570599.jpg,102639,"SKETCH IMPORT"
1487,00570600,jpg,1487_1487.jpg,39-10-26-0380-0020-0280.00570600.jpg,102639,"SKETCH IMPORT"
